kind,noise,n,d,b,method,power,n_reps,null_size,advantage,power_hsic
conf_lin,gauss,2000,5,0.2,k2,0.015,200,0.015,0.0,0.015
conf_lin,gauss,2000,5,0.4,hsic,0.015,200,0.0,0.015,0.015
conf_lin,gauss,2000,5,0.4,k1,0.0,200,0.0,0.0,0.015
conf_lin,gauss,2000,5,0.4,k2,0.015,200,0.015,0.0,0.015
conf_lin,gauss,2000,5,0.6,hsic,0.015,200,0.0,0.015,0.015
conf_lin,gauss,2000,5,0.6,k1,0.0,200,0.0,0.0,0.015
conf_lin,gauss,2000,5,0.6,k2,0.015,200,0.015,0.0,0.015
conf_lin,gauss,2000,5,0.8,hsic,0.015,200,0.0,0.015,0.015
conf_lin,gauss,2000,5,0.8,k1,0.0,200,0.0,0.0,0.015
conf_lin,gauss,2000,5,0.8,k2,0.015,200,0.015,0.0,0.015
conf_lin,gauss,8000,2,0.2,hsic,0.01,200,0.0,0.01,0.01
conf_lin,gauss,8000,2,0.2,k1,0.0,200,0.0,0.0,0.01
conf_lin,gauss,8000,2,0.2,k2,0.0,200,0.015,-0.015,0.01
conf_lin,gauss,8000,2,0.4,hsic,0.01,200,0.0,0.01,0.01
conf_lin,gauss,8000,2,0.4,k1,0.0,200,0.0,0.0,0.01
conf_lin,gauss,8000,2,0.4,k2,0.0,200,0.015,-0.015,0.01
conf_lin,gauss,8000,2,0.6,hsic,0.01,200,0.0,0.01,0.01
conf_lin,gauss,8000,2,0.6,k1,0.0,200,0.0,0.0,0.01
conf_lin,gauss,8000,2,0.6,k2,0.0,200,0.015,-0.015,0.01
conf_lin,gauss,8000,2,0.8,hsic,0.01,200,0.0,0.01,0.01
conf_lin,gauss,8000,2,0.8,k1,0.0,200,0.0,0.0,0.01
conf_lin,gauss,8000,2,0.8,k2,0.0,200,0.015,-0.015,0.01
conf_lin,gauss,8000,3,0.2,hsic,0.01,200,0.0,0.01,0.01
conf_lin,gauss,8000,3,0.2,k1,0.0,200,0.0,0.0,0.01
conf_lin,gauss,8000,3,0.2,k2,0.0,200,0.015,-0.015,0.01
conf_lin,gauss,8000,3,0.4,hsic,0.01,200,0.0,0.01,0.01
conf_lin,gauss,8000,3,0.4,k1,0.0,200,0.0,0.0,0.01
conf_lin,gauss,8000,3,0.4,k2,0.0,200,0.015,-0.015,0.01
conf_lin,gauss,8000,3,0.6,hsic,0.01,200,0.0,0.01,0.01
conf_lin,gauss,8000,3,0.6,k1,0.0,200,0.0,0.0,0.01
conf_lin,gauss,8000,3,0.6,k2,0.0,200,0.015,-0.015,0.01
conf_lin,gauss,8000,3,0.8,hsic,0.01,200,0.0,0.01,0.01
conf_lin,gauss,8000,3,0.8,k1,0.0,200,0.0,0.0,0.01
conf_lin,gauss,8000,3,0.8,k2,0.0,200,0.015,-0.015,0.01
conf_lin,gauss,8000,5,0.2,hsic,0.01,200,0.0,0.01,0.01
conf_lin,gauss,8000,5,0.2,k1,0.0,200,0.0,0.0,0.01
conf_lin,gauss,8000,5,0.2,k2,0.0,200,0.015,-0.015,0.01
conf_lin,gauss,8000,5,0.4,hsic,0.01,200,0.0,0.01,0.01
conf_lin,gauss,8000,5,0.4,k1,0.0,200,0.0,0.0,0.01
conf_lin,gauss,8000,5,0.4,k2,0.0,200,0.015,-0.015,0.01
conf_lin,gauss,8000,5,0.6,hsic,0.01,200,0.0,0.01,0.01
conf_lin,gauss,8000,5,0.6,k1,0.0,200,0.0,0.0,0.01
conf_lin,gauss,8000,5,0.6,k2,0.0,200,0.015,-0.015,0.01
conf_lin,gauss,8000,5,0.8,hsic,0.01,200,0.0,0.01,0.01
conf_lin,gauss,8000,5,0.8,k1,0.0,200,0.0,0.0,0.01
conf_lin,gauss,8000,5,0.8,k2,0.0,200,0.015,-0.015,0.01
conf_lin,gauss,20000,2,0.2,hsic,0.005,200,0.0,0.005,0.005
conf_lin,gauss,20000,2,0.2,k1,0.02,200,0.01,0.01,0.005
conf_lin,gauss,20000,2,0.2,k2,0.02,200,0.015,0.005000000000000001,0.005
conf_lin,gauss,20000,2,0.4,hsic,0.005,200,0.0,0.005,0.005
conf_lin,gauss,20000,2,0.4,k1,0.02,200,0.01,0.01,0.005
conf_lin,gauss,20000,2,0.4,k2,0.02,200,0.015,0.005000000000000001,0.005
conf_lin,gauss,20000,2,0.6,hsic,0.0,200,0.0,0.0,0.0
conf_lin,gauss,20000,2,0.6,k1,0.02,200,0.01,0.01,0.0
conf_lin,gauss,20000,2,0.6,k2,0.02,200,0.015,0.005000000000000001,0.0
conf_lin,gauss,20000,2,0.8,hsic,0.0,200,0.0,0.0,0.0
conf_lin,gauss,20000,2,0.8,k1,0.02,200,0.01,0.01,0.0
conf_lin,gauss,20000,2,0.8,k2,0.02,200,0.015,0.005000000000000001,0.0
conf_lin,gauss,20000,3,0.2,hsic,0.005,200,0.0,0.005,0.005
conf_lin,gauss,20000,3,0.2,k1,0.02,200,0.01,0.01,0.005
conf_lin,gauss,20000,3,0.2,k2,0.02,200,0.015,0.005000000000000001,0.005
conf_lin,gauss,20000,3,0.4,hsic,0.005,200,0.0,0.005,0.005
conf_lin,gauss,20000,3,0.4,k1,0.02,200,0.01,0.01,0.005
conf_lin,gauss,20000,3,0.4,k2,0.02,200,0.015,0.005000000000000001,0.005
conf_lin,gauss,20000,3,0.6,hsic,0.0,200,0.0,0.0,0.0
conf_lin,gauss,20000,3,0.6,k1,0.02,200,0.01,0.01,0.0
conf_lin,gauss,20000,3,0.6,k2,0.02,200,0.015,0.005000000000000001,0.0
conf_lin,gauss,20000,3,0.8,hsic,0.0,200,0.0,0.0,0.0
conf_lin,gauss,20000,3,0.8,k1,0.02,200,0.01,0.01,0.0
conf_lin,gauss,20000,3,0.8,k2,0.02,200,0.015,0.005000000000000001,0.0
conf_lin,gauss,20000,5,0.2,hsic,0.005,200,0.0,0.005,0.005
conf_lin,gauss,20000,5,0.2,k1,0.02,200,0.01,0.01,0.005
conf_lin,gauss,20000,5,0.2,k2,0.02,200,0.015,0.005000000000000001,0.005
conf_lin,gauss,20000,5,0.4,hsic,0.005,200,0.0,0.005,0.005
conf_lin,gauss,20000,5,0.4,k1,0.02,200,0.01,0.01,0.005
conf_lin,gauss,20000,5,0.4,k2,0.02,200,0.015,0.005000000000000001,0.005
conf_lin,gauss,20000,5,0.6,hsic,0.0,200,0.0,0.0,0.0
conf_lin,gauss,20000,5,0.6,k1,0.02,200,0.01,0.01,0.0
conf_lin,gauss,20000,5,0.6,k2,0.02,200,0.015,0.005000000000000001,0.0
conf_lin,gauss,20000,5,0.8,hsic,0.0,200,0.0,0.0,0.0
conf_lin,gauss,20000,5,0.8,k1,0.02,200,0.01,0.01,0.0
conf_lin,gauss,20000,5,0.8,k2,0.02,200,0.015,0.005000000000000001,0.0
conf_lin,t3,2000,2,0.2,hsic,0.14,200,0.0,0.14,0.14
conf_lin,t3,2000,2,0.2,k1,0.0,200,0.005,-0.005,0.14
conf_lin,t3,2000,2,0.2,k2,0.035,200,0.075,-0.039999999999999994,0.14
conf_lin,t3,2000,2,0.4,hsic,0.155,200,0.0,0.155,0.155
conf_lin,t3,2000,2,0.4,k1,0.0,200,0.005,-0.005,0.155
conf_lin,t3,2000,2,0.4,k2,0.035,200,0.075,-0.039999999999999994,0.155
conf_lin,t3,2000,2,0.6,hsic,0.17,200,0.0,0.17,0.17
conf_lin,t3,2000,2,0.6,k1,0.0,200,0.005,-0.005,0.17
conf_lin,t3,2000,2,0.6,k2,0.035,200,0.075,-0.039999999999999994,0.17
conf_lin,t3,2000,2,0.8,hsic,0.175,200,0.0,0.175,0.175
conf_lin,t3,2000,2,0.8,k1,0.0,200,0.005,-0.005,0.175
conf_lin,t3,2000,2,0.8,k2,0.035,200,0.075,-0.039999999999999994,0.175
conf_lin,t3,2000,3,0.2,hsic,0.14,200,0.0,0.14,0.14
conf_lin,t3,2000,3,0.2,k1,0.0,200,0.005,-0.005,0.14
conf_lin,t3,2000,3,0.2,k2,0.035,200,0.075,-0.039999999999999994,0.14
conf_lin,t3,2000,3,0.4,hsic,0.155,200,0.0,0.155,0.155
conf_lin,t3,2000,3,0.4,k1,0.0,200,0.005,-0.005,0.155
conf_lin,t3,2000,3,0.4,k2,0.035,200,0.075,-0.039999999999999994,0.155
conf_lin,t3,2000,3,0.6,hsic,0.17,200,0.0,0.17,0.17
conf_lin,t3,2000,3,0.6,k1,0.0,200,0.005,-0.005,0.17
conf_lin,t3,2000,3,0.6,k2,0.035,200,0.075,-0.039999999999999994,0.17
conf_lin,t3,2000,3,0.8,hsic,0.175,200,0.0,0.175,0.175
conf_lin,t3,2000,3,0.8,k1,0.0,200,0.005,-0.005,0.175
conf_lin,t3,2000,3,0.8,k2,0.035,200,0.075,-0.039999999999999994,0.175
conf_lin,t3,2000,5,0.2,hsic,0.14,200,0.0,0.14,0.14
conf_lin,t3,2000,5,0.2,k1,0.0,200,0.005,-0.005,0.14
conf_lin,t3,2000,5,0.2,k2,0.035,200,0.075,-0.039999999999999994,0.14
conf_lin,t3,2000,5,0.4,hsic,0.155,200,0.0,0.155,0.155
conf_lin,t3,2000,5,0.4,k1,0.0,200,0.005,-0.005,0.155
conf_lin,t3,2000,5,0.4,k2,0.035,200,0.075,-0.039999999999999994,0.155
conf_lin,t3,2000,5,0.6,hsic,0.17,200,0.0,0.17,0.17
conf_lin,t3,2000,5,0.6,k1,0.0,200,0.005,-0.005,0.17
conf_lin,t3,2000,5,0.6,k2,0.035,200,0.075,-0.039999999999999994,0.17
conf_lin,t3,2000,5,0.8,hsic,0.175,200,0.0,0.175,0.175
conf_lin,t3,2000,5,0.8,k1,0.0,200,0.005,-0.005,0.175
conf_lin,t3,2000,5,0.8,k2,0.035,200,0.075,-0.039999999999999994,0.175
conf_lin,t3,8000,2,0.2,hsic,0.145,200,0.0,0.145,0.145
conf_lin,t3,8000,2,0.2,k1,0.045,200,0.01,0.034999999999999996,0.145
conf_lin,t3,8000,2,0.2,k2,0.055,200,0.13,-0.07500000000000001,0.145
conf_lin,t3,8000,2,0.4,hsic,0.155,200,0.0,0.155,0.155
conf_lin,t3,8000,2,0.4,k1,0.045,200,0.01,0.034999999999999996,0.155
conf_lin,t3,8000,2,0.4,k2,0.055,200,0.13,-0.07500000000000001,0.155
conf_lin,t3,8000,2,0.6,hsic,0.165,200,0.0,0.165,0.165
conf_lin,t3,8000,2,0.6,k1,0.045,200,0.01,0.034999999999999996,0.165
conf_lin,t3,8000,2,0.6,k2,0.055,200,0.13,-0.07500000000000001,0.165
conf_lin,t3,8000,2,0.8,hsic,0.17,200,0.0,0.17,0.17
conf_lin,t3,8000,2,0.8,k1,0.045,200,0.01,0.034999999999999996,0.17
