cell,tail,rho,n,stat,engine,power,n_reps,null_size,advantage
2-2-4,none,0.4,2000,gm_battery,none,0.0,200,,
2-2-4,none,0.4,2000,gtest,none,0.0,200,,
2-2-4,none,0.4,2000,kl_crossfit,none,0.0,200,,
2-2-4,none,0.4,2000,kl_plugin,none,0.0,200,,
2-2-4,none,0.4,2000,kl_split,none,0.0,200,,
2-2-4,none,0.4,2000,slack_plugin,none,0.0,200,,
2-2-4,none,0.6,500,cf1_margin,none,0.0,200,,
2-2-4,none,0.6,500,gm_battery,none,0.0,200,,
2-2-4,none,0.6,500,gtest,none,0.0,200,,
2-2-4,none,0.6,500,kl_crossfit,none,0.0,200,,
2-2-4,none,0.6,500,kl_plugin,none,0.0,200,,
2-2-4,none,0.6,500,kl_split,none,0.0,200,,
2-2-4,none,0.6,500,slack_plugin,none,0.0,200,,
2-2-4,none,0.6,1000,cf1_margin,none,0.0,200,,
2-2-4,none,0.6,1000,gm_battery,none,0.0,200,,
2-2-4,none,0.6,1000,gtest,none,0.0,200,,
2-2-4,none,0.6,1000,kl_crossfit,none,0.0,200,,
2-2-4,none,0.6,1000,kl_plugin,none,0.0,200,,
2-2-4,none,0.6,1000,kl_split,none,0.0,200,,
2-2-4,none,0.6,1000,slack_plugin,none,0.0,200,,
2-2-4,none,0.6,2000,cf1_margin,none,0.0,200,,
2-2-4,none,0.6,2000,gm_battery,none,0.0,200,,
2-2-4,none,0.6,2000,gtest,none,0.0,200,,
2-2-4,none,0.6,2000,kl_crossfit,none,0.0,200,,
2-2-4,none,0.6,2000,kl_plugin,none,0.0,200,,
2-2-4,none,0.6,2000,kl_split,none,0.0,200,,
2-2-4,none,0.6,2000,slack_plugin,none,0.0,200,,
2-2-4,none,0.8,500,cf1_margin,none,0.0,200,,
2-2-4,none,0.8,500,gm_battery,none,0.0,200,,
2-2-4,none,0.8,500,gtest,none,0.0,200,,
2-2-4,none,0.8,500,kl_crossfit,none,0.0,200,,
2-2-4,none,0.8,500,kl_plugin,none,0.0,200,,
2-2-4,none,0.8,500,kl_split,none,0.0,200,,
2-2-4,none,0.8,500,slack_plugin,none,0.0,200,,
2-2-4,none,0.8,1000,cf1_margin,none,0.0,200,,
2-2-4,none,0.8,1000,gm_battery,none,0.0,200,,
2-2-4,none,0.8,1000,gtest,none,0.0,200,,
2-2-4,none,0.8,1000,kl_crossfit,none,0.0,200,,
2-2-4,none,0.8,1000,kl_plugin,none,0.0,200,,
2-2-4,none,0.8,1000,kl_split,none,0.0,200,,
2-2-4,none,0.8,1000,slack_plugin,none,0.0,200,,
2-2-4,none,0.8,2000,cf1_margin,none,0.0,200,,
2-2-4,none,0.8,2000,gm_battery,none,0.0,200,,
2-2-4,none,0.8,2000,gtest,none,0.0,200,,
2-2-4,none,0.8,2000,kl_crossfit,none,0.0,200,,
2-2-4,none,0.8,2000,kl_plugin,none,0.0,200,,
2-2-4,none,0.8,2000,kl_split,none,0.0,200,,
2-2-4,none,0.8,2000,slack_plugin,none,0.0,200,,
2-2-4,t3,0.2,500,cf1_margin,none,0.0,200,,
2-2-4,t3,0.2,500,gm_battery,none,0.0,200,,
2-2-4,t3,0.2,500,gtest,none,0.0,200,,
2-2-4,t3,0.2,500,kl_crossfit,none,0.0,200,,
2-2-4,t3,0.2,500,kl_plugin,none,0.0,200,,
2-2-4,t3,0.2,500,kl_split,none,0.0,200,,
2-2-4,t3,0.2,500,slack_plugin,none,0.0,200,,
2-2-4,t3,0.2,1000,cf1_margin,none,0.0,200,,
2-2-4,t3,0.2,1000,gm_battery,none,0.0,200,,
2-2-4,t3,0.2,1000,gtest,none,0.0,200,,
2-2-4,t3,0.2,1000,kl_crossfit,none,0.0,200,,
2-2-4,t3,0.2,1000,kl_plugin,none,0.0,200,,
2-2-4,t3,0.2,1000,kl_split,none,0.0,200,,
2-2-4,t3,0.2,1000,slack_plugin,none,0.0,200,,
2-2-4,t3,0.2,2000,cf1_margin,none,0.0,200,,
2-2-4,t3,0.2,2000,gm_battery,none,0.0,200,,
2-2-4,t3,0.2,2000,gtest,none,0.0,200,,
2-2-4,t3,0.2,2000,kl_crossfit,none,0.0,200,,
2-2-4,t3,0.2,2000,kl_plugin,none,0.0,200,,
2-2-4,t3,0.2,2000,kl_split,none,0.0,200,,
2-2-4,t3,0.2,2000,slack_plugin,none,0.0,200,,
2-2-4,t3,0.4,500,cf1_margin,none,0.0,200,,
2-2-4,t3,0.4,500,gm_battery,none,0.0,200,,
2-2-4,t3,0.4,500,gtest,none,0.0,200,,
2-2-4,t3,0.4,500,kl_crossfit,none,0.0,200,,
2-2-4,t3,0.4,500,kl_plugin,none,0.0,200,,
2-2-4,t3,0.4,500,kl_split,none,0.0,200,,
2-2-4,t3,0.4,500,slack_plugin,none,0.0,200,,
2-2-4,t3,0.4,1000,cf1_margin,none,0.0,200,,
2-2-4,t3,0.4,1000,gm_battery,none,0.0,200,,
2-2-4,t3,0.4,1000,gtest,none,0.0,200,,
2-2-4,t3,0.4,1000,kl_crossfit,none,0.0,200,,
2-2-4,t3,0.4,1000,kl_plugin,none,0.0,200,,
2-2-4,t3,0.4,1000,kl_split,none,0.0,200,,
2-2-4,t3,0.4,1000,slack_plugin,none,0.0,200,,
2-2-4,t3,0.4,2000,cf1_margin,none,0.0,200,,
2-2-4,t3,0.4,2000,gm_battery,none,0.0,200,,
2-2-4,t3,0.4,2000,gtest,none,0.0,200,,
2-2-4,t3,0.4,2000,kl_crossfit,none,0.0,200,,
2-2-4,t3,0.4,2000,kl_plugin,none,0.0,200,,
2-2-4,t3,0.4,2000,kl_split,none,0.0,200,,
2-2-4,t3,0.4,2000,slack_plugin,none,0.0,200,,
2-2-4,t3,0.6,500,cf1_margin,none,0.0,200,,
2-2-4,t3,0.6,500,gm_battery,none,0.0,200,,
2-2-4,t3,0.6,500,gtest,none,0.0,200,,
2-2-4,t3,0.6,500,kl_crossfit,none,0.0,200,,
2-2-4,t3,0.6,500,kl_plugin,none,0.0,200,,
2-2-4,t3,0.6,500,kl_split,none,0.0,200,,
2-2-4,t3,0.6,500,slack_plugin,none,0.0,200,,
2-2-4,t3,0.6,1000,cf1_margin,none,0.0,200,,
2-2-4,t3,0.6,1000,gm_battery,none,0.0,200,,
2-2-4,t3,0.6,1000,gtest,none,0.0,200,,
2-2-4,t3,0.6,1000,kl_crossfit,none,0.0,200,,
2-2-4,t3,0.6,1000,kl_plugin,none,0.0,200,,
2-2-4,t3,0.6,1000,kl_split,none,0.0,200,,
2-2-4,t3,0.6,1000,slack_plugin,none,0.0,200,,
2-2-4,t3,0.6,2000,cf1_margin,none,0.0,200,,
2-2-4,t3,0.6,2000,gm_battery,none,0.0,200,,
2-2-4,t3,0.6,2000,gtest,none,0.0,200,,
2-2-4,t3,0.6,2000,kl_crossfit,none,0.0,200,,
2-2-4,t3,0.6,2000,kl_plugin,none,0.0,200,,
2-2-4,t3,0.6,2000,kl_split,none,0.0,200,,
2-2-4,t3,0.6,2000,slack_plugin,none,0.0,200,,
2-2-4,t3,0.8,500,cf1_margin,none,0.0,200,,
2-2-4,t3,0.8,500,gm_battery,none,0.0,200,,
2-2-4,t3,0.8,500,gtest,none,0.0,200,,
2-2-4,t3,0.8,500,kl_crossfit,none,0.0,200,,
2-2-4,t3,0.8,500,kl_plugin,none,0.0,200,,
2-2-4,t3,0.8,500,kl_split,none,0.0,200,,
2-2-4,t3,0.8,500,slack_plugin,none,0.0,200,,
2-2-4,t3,0.8,1000,cf1_margin,none,0.0,200,,
2-2-4,t3,0.8,1000,gm_battery,none,0.0,200,,
2-2-4,t3,0.8,1000,gtest,none,0.0,200,,
2-2-4,t3,0.8,1000,kl_crossfit,none,0.0,200,,
2-2-4,t3,0.8,1000,kl_plugin,none,0.0,200,,
2-2-4,t3,0.8,1000,kl_split,none,0.0,200,,
2-2-4,t3,0.8,1000,slack_plugin,none,0.0,200,,
2-2-4,t3,0.8,2000,cf1_margin,none,0.0,200,,
2-2-4,t3,0.8,2000,gm_battery,none,0.0,200,,
2-2-4,t3,0.8,2000,gtest,none,0.0,200,,
2-2-4,t3,0.8,2000,kl_crossfit,none,0.0,200,,
2-2-4,t3,0.8,2000,kl_plugin,none,0.0,200,,
2-2-4,t3,0.8,2000,kl_split,none,0.0,200,,
2-2-4,t3,0.8,2000,slack_plugin,none,0.0,200,,
2-2-5,none,0.2,500,cf1_margin,none,0.0,200,,
2-2-5,none,0.2,500,gm_battery,none,0.0,200,,
2-2-5,none,0.2,500,gtest,none,0.0,200,,
2-2-5,none,0.2,500,kl_crossfit,none,0.0,200,,
2-2-5,none,0.2,500,kl_plugin,none,0.0,200,,
2-2-5,none,0.2,500,kl_split,none,0.0,200,,
2-2-5,none,0.2,500,slack_plugin,none,0.0,200,,
2-2-5,none,0.2,1000,cf1_margin,none,0.0,200,,
2-2-5,none,0.2,1000,gm_battery,none,0.0,200,,
2-2-5,none,0.2,1000,gtest,none,0.0,200,,
2-2-5,none,0.2,1000,kl_crossfit,none,0.0,200,,
2-2-5,none,0.2,1000,kl_plugin,none,0.0,200,,
2-2-5,none,0.2,1000,kl_split,none,0.0,200,,
2-2-5,none,0.2,1000,slack_plugin,none,0.0,200,,
2-2-5,none,0.2,2000,cf1_margin,none,0.0,200,,
2-2-5,none,0.2,2000,gm_battery,none,0.0,200,,
2-2-5,none,0.2,2000,gtest,none,0.0,200,,
2-2-5,none,0.2,2000,kl_crossfit,none,0.0,200,,
2-2-5,none,0.2,2000,kl_plugin,none,0.0,200,,
2-2-5,none,0.2,2000,kl_split,none,0.0,200,,
2-2-5,none,0.2,2000,slack_plugin,none,0.0,200,,
2-2-5,none,0.4,500,cf1_margin,none,0.0,200,,
2-2-5,none,0.4,500,gm_battery,none,0.0,200,,
2-2-5,none,0.4,500,gtest,none,0.0,200,,
2-2-5,none,0.4,500,kl_crossfit,none,0.0,200,,
2-2-5,none,0.4,500,kl_plugin,none,0.0,200,,
2-2-5,none,0.4,500,kl_split,none,0.0,200,,
2-2-5,none,0.4,500,slack_plugin,none,0.0,200,,
2-2-5,none,0.4,1000,cf1_margin,none,0.0,200,,
2-2-5,none,0.4,1000,gm_battery,none,0.0,200,,
2-2-5,none,0.4,1000,gtest,none,0.0,200,,
2-2-5,none,0.4,1000,kl_crossfit,none,0.0,200,,
2-2-5,none,0.4,1000,kl_plugin,none,0.0,200,,
2-2-5,none,0.4,1000,kl_split,none,0.0,200,,
2-2-5,none,0.4,1000,slack_plugin,none,0.0,200,,
2-2-5,none,0.4,2000,cf1_margin,none,0.0,200,,
2-2-5,none,0.4,2000,gm_battery,none,0.0,200,,
2-2-5,none,0.4,2000,gtest,none,0.0,200,,
2-2-5,none,0.4,2000,kl_crossfit,none,0.0,200,,
2-2-5,none,0.4,2000,kl_plugin,none,0.0,200,,
2-2-5,none,0.4,2000,kl_split,none,0.0,200,,
2-2-5,none,0.4,2000,slack_plugin,none,0.0,200,,
2-2-5,none,0.6,500,cf1_margin,none,0.0,200,,
2-2-5,none,0.6,500,gm_battery,none,0.0,200,,
2-2-5,none,0.6,500,gtest,none,0.0,200,,
2-2-5,none,0.6,500,kl_crossfit,none,0.0,200,,
2-2-5,none,0.6,500,kl_plugin,none,0.0,200,,
2-2-5,none,0.6,500,kl_split,none,0.0,200,,
2-2-5,none,0.6,500,slack_plugin,none,0.0,200,,
2-2-5,none,0.6,1000,cf1_margin,none,0.0,200,,
2-2-5,none,0.6,1000,gm_battery,none,0.0,200,,
2-2-5,none,0.6,1000,gtest,none,0.0,200,,
2-2-5,none,0.6,1000,kl_crossfit,none,0.0,200,,
2-2-5,none,0.6,1000,kl_plugin,none,0.0,200,,
2-2-5,none,0.6,1000,kl_split,none,0.0,200,,
2-2-5,none,0.6,1000,slack_plugin,none,0.0,200,,
2-2-5,none,0.6,2000,cf1_margin,none,0.0,200,,
2-2-5,none,0.6,2000,gm_battery,none,0.0,200,,
2-2-5,none,0.6,2000,gtest,none,0.0,200,,
2-2-5,none,0.6,2000,kl_crossfit,none,0.0,200,,
2-2-5,none,0.6,2000,kl_plugin,none,0.0,200,,
2-2-5,none,0.6,2000,kl_split,none,0.0,200,,
2-2-5,none,0.6,2000,slack_plugin,none,0.0,200,,
2-2-5,none,0.8,500,cf1_margin,none,0.0,200,,
2-2-5,none,0.8,500,gm_battery,none,0.0,200,,
2-2-5,none,0.8,500,gtest,none,0.0,200,,
2-2-5,none,0.8,500,kl_crossfit,none,0.0,200,,
2-2-5,none,0.8,500,kl_plugin,none,0.0,200,,
2-2-5,none,0.8,500,kl_split,none,0.0,200,,
2-2-5,none,0.8,500,slack_plugin,none,0.0,200,,
2-2-5,none,0.8,1000,cf1_margin,none,0.0,200,,
2-2-5,none,0.8,1000,gm_battery,none,0.0,200,,
2-2-5,none,0.8,1000,gtest,none,0.0,200,,
2-2-5,none,0.8,1000,kl_crossfit,none,0.0,200,,
2-2-5,none,0.8,1000,kl_plugin,none,0.0,200,,
2-2-5,none,0.8,1000,kl_split,none,0.0,200,,
2-2-5,none,0.8,1000,slack_plugin,none,0.0,200,,
2-2-5,none,0.8,2000,cf1_margin,none,0.0,200,,
2-2-5,none,0.8,2000,gm_battery,none,0.0,200,,
2-2-5,none,0.8,2000,gtest,none,0.0,200,,
2-2-5,none,0.8,2000,kl_crossfit,none,0.0,200,,
2-2-5,none,0.8,2000,kl_plugin,none,0.0,200,,
2-2-5,none,0.8,2000,kl_split,none,0.0,200,,
2-2-5,none,0.8,2000,slack_plugin,none,0.0,200,,
2-2-5,t3,0.2,500,cf1_margin,none,0.0,200,,
2-2-5,t3,0.2,500,gm_battery,none,0.0,200,,
2-2-5,t3,0.2,500,gtest,none,0.0,200,,
2-2-5,t3,0.2,500,kl_crossfit,none,0.0,200,,
2-2-5,t3,0.2,500,kl_plugin,none,0.0,200,,
2-2-5,t3,0.2,500,kl_split,none,0.0,200,,
2-2-5,t3,0.2,500,slack_plugin,none,0.0,200,,
2-2-5,t3,0.2,1000,cf1_margin,none,0.0,200,,
2-2-5,t3,0.2,1000,gm_battery,none,0.0,200,,
2-2-5,t3,0.2,1000,gtest,none,0.0,200,,
2-2-5,t3,0.2,1000,kl_crossfit,none,0.0,200,,
2-2-5,t3,0.2,1000,kl_plugin,none,0.0,200,,
2-2-5,t3,0.2,1000,kl_split,none,0.0,200,,
2-2-5,t3,0.2,1000,slack_plugin,none,0.0,200,,
2-2-5,t3,0.2,2000,cf1_margin,none,0.0,200,,
2-2-5,t3,0.2,2000,gm_battery,none,0.0,200,,
2-2-5,t3,0.2,2000,gtest,none,0.0,200,,
2-2-5,t3,0.2,2000,kl_crossfit,none,0.0,200,,
2-2-5,t3,0.2,2000,kl_plugin,none,0.0,200,,
2-2-5,t3,0.2,2000,kl_split,none,0.0,200,,
2-2-5,t3,0.2,2000,slack_plugin,none,0.0,200,,
2-2-5,t3,0.4,500,cf1_margin,none,0.0,200,,
2-2-5,t3,0.4,500,gm_battery,none,0.0,200,,
2-2-5,t3,0.4,500,gtest,none,0.0,200,,
2-2-5,t3,0.4,500,kl_crossfit,none,0.0,200,,
2-2-5,t3,0.4,500,kl_plugin,none,0.0,200,,
2-2-5,t3,0.4,500,kl_split,none,0.0,200,,
2-2-5,t3,0.4,500,slack_plugin,none,0.0,200,,
2-2-5,t3,0.4,1000,cf1_margin,none,0.0,200,,
2-2-5,t3,0.4,1000,gm_battery,none,0.0,200,,
2-2-5,t3,0.4,1000,gtest,none,0.0,200,,
2-2-5,t3,0.4,1000,kl_crossfit,none,0.0,200,,
2-2-5,t3,0.4,1000,kl_plugin,none,0.0,200,,
2-2-5,t3,0.4,1000,kl_split,none,0.0,200,,
2-2-5,t3,0.4,1000,slack_plugin,none,0.0,200,,
2-2-5,t3,0.4,2000,cf1_margin,none,0.0,200,,
2-2-5,t3,0.4,2000,gm_battery,none,0.0,200,,
2-2-5,t3,0.4,2000,gtest,none,0.0,200,,
2-2-5,t3,0.4,2000,kl_crossfit,none,0.0,200,,
2-2-5,t3,0.4,2000,kl_plugin,none,0.0,200,,
2-2-5,t3,0.4,2000,kl_split,none,0.0,200,,
2-2-5,t3,0.4,2000,slack_plugin,none,0.0,200,,
2-2-5,t3,0.6,500,cf1_margin,none,0.0,200,,
2-2-5,t3,0.6,500,gm_battery,none,0.0,200,,
2-2-5,t3,0.6,500,gtest,none,0.0,200,,
2-2-5,t3,0.6,500,kl_crossfit,none,0.0,200,,
2-2-5,t3,0.6,500,kl_plugin,none,0.0,200,,
2-2-5,t3,0.6,500,kl_split,none,0.0,200,,
2-2-5,t3,0.6,500,slack_plugin,none,0.0,200,,
2-2-5,t3,0.6,1000,cf1_margin,none,0.0,200,,
2-2-5,t3,0.6,1000,gm_battery,none,0.0,200,,
2-2-5,t3,0.6,1000,gtest,none,0.0,200,,
2-2-5,t3,0.6,1000,kl_crossfit,none,0.0,200,,
2-2-5,t3,0.6,1000,kl_plugin,none,0.0,200,,
2-2-5,t3,0.6,1000,kl_split,none,0.0,200,,
2-2-5,t3,0.6,1000,slack_plugin,none,0.0,200,,
2-2-5,t3,0.6,2000,cf1_margin,none,0.0,200,,
2-2-5,t3,0.6,2000,gm_battery,none,0.0,200,,
2-2-5,t3,0.6,2000,gtest,none,0.0,200,,
2-2-5,t3,0.6,2000,kl_crossfit,none,0.0,200,,
2-2-5,t3,0.6,2000,kl_plugin,none,0.0,200,,
2-2-5,t3,0.6,2000,kl_split,none,0.0,200,,
2-2-5,t3,0.6,2000,slack_plugin,none,0.0,200,,
2-2-5,t3,0.8,500,cf1_margin,none,0.0,200,,
2-2-5,t3,0.8,500,gm_battery,none,0.0,200,,
2-2-5,t3,0.8,500,gtest,none,0.0,200,,
2-2-5,t3,0.8,500,kl_crossfit,none,0.0,200,,
2-2-5,t3,0.8,500,kl_plugin,none,0.0,200,,
2-2-5,t3,0.8,500,kl_split,none,0.0,200,,
2-2-5,t3,0.8,500,slack_plugin,none,0.0,200,,
2-2-5,t3,0.8,1000,cf1_margin,none,0.0,200,,
2-2-5,t3,0.8,1000,gm_battery,none,0.0,200,,
2-2-5,t3,0.8,1000,gtest,none,0.0,200,,
2-2-5,t3,0.8,1000,kl_crossfit,none,0.0,200,,
2-2-5,t3,0.8,1000,kl_plugin,none,0.0,200,,
2-2-5,t3,0.8,1000,kl_split,none,0.0,200,,
2-2-5,t3,0.8,1000,slack_plugin,none,0.0,200,,
2-2-5,t3,0.8,2000,cf1_margin,none,0.0,200,,
2-2-5,t3,0.8,2000,gm_battery,none,0.0,200,,
2-2-5,t3,0.8,2000,gtest,none,0.0,200,,
2-2-5,t3,0.8,2000,kl_crossfit,none,0.0,200,,
2-2-5,t3,0.8,2000,kl_plugin,none,0.0,200,,
2-2-5,t3,0.8,2000,kl_split,none,0.0,200,,
2-2-5,t3,0.8,2000,slack_plugin,none,0.0,200,,
2-2-8,none,0.2,500,cf1_margin,none,0.0,200,,
2-2-8,none,0.2,500,gm_battery,none,0.0,200,,
2-2-8,none,0.2,500,gtest,none,0.0,200,,
2-2-8,none,0.2,500,kl_crossfit,none,0.0,200,,
2-2-8,none,0.2,500,kl_plugin,none,0.0,200,,
2-2-8,none,0.2,500,kl_split,none,0.0,200,,
2-2-8,none,0.2,500,slack_plugin,none,0.0,200,,
2-2-8,none,0.2,1000,cf1_margin,none,0.0,200,,
2-2-8,none,0.2,1000,gm_battery,none,0.0,200,,
2-2-8,none,0.2,1000,gtest,none,0.0,200,,
2-2-8,none,0.2,1000,kl_crossfit,none,0.0,200,,
2-2-8,none,0.2,1000,kl_plugin,none,0.0,200,,
2-2-8,none,0.2,1000,kl_split,none,0.0,200,,
2-2-8,none,0.2,1000,slack_plugin,none,0.0,200,,
2-2-8,none,0.2,2000,cf1_margin,none,0.0,200,,
2-2-8,none,0.2,2000,gm_battery,none,0.0,200,,
2-2-8,none,0.2,2000,gtest,none,0.0,200,,
2-2-8,none,0.2,2000,kl_crossfit,none,0.0,200,,
2-2-8,none,0.2,2000,kl_plugin,none,0.0,200,,
2-2-8,none,0.2,2000,kl_split,none,0.0,200,,
2-2-8,none,0.2,2000,slack_plugin,none,0.0,200,,
2-2-8,none,0.4,500,cf1_margin,none,0.0,200,,
2-2-8,none,0.4,500,gm_battery,none,0.0,200,,
2-2-8,none,0.4,500,gtest,none,0.0,200,,
2-2-8,none,0.4,500,kl_crossfit,none,0.0,200,,
2-2-8,none,0.4,500,kl_plugin,none,0.0,200,,
2-2-8,none,0.4,500,kl_split,none,0.0,200,,
2-2-8,none,0.4,500,slack_plugin,none,0.0,200,,
2-2-8,none,0.4,1000,cf1_margin,none,0.0,200,,
2-2-8,none,0.4,1000,gm_battery,none,0.0,200,,
2-2-8,none,0.4,1000,gtest,none,0.0,200,,
2-2-8,none,0.4,1000,kl_crossfit,none,0.0,200,,
2-2-8,none,0.4,1000,kl_plugin,none,0.0,200,,
2-2-8,none,0.4,1000,kl_split,none,0.0,200,,
2-2-8,none,0.4,1000,slack_plugin,none,0.0,200,,
2-2-8,none,0.4,2000,cf1_margin,none,0.0,200,,
2-2-8,none,0.4,2000,gm_battery,none,0.0,200,,
2-2-8,none,0.4,2000,gtest,none,0.0,200,,
2-2-8,none,0.4,2000,kl_crossfit,none,0.0,200,,
2-2-8,none,0.4,2000,kl_plugin,none,0.0,200,,
2-2-8,none,0.4,2000,kl_split,none,0.0,200,,
2-2-8,none,0.4,2000,slack_plugin,none,0.0,200,,
2-2-8,none,0.6,500,cf1_margin,none,0.0,200,,
2-2-8,none,0.6,500,gm_battery,none,0.0,200,,
2-2-8,none,0.6,500,gtest,none,0.0,200,,
2-2-8,none,0.6,500,kl_crossfit,none,0.0,200,,
2-2-8,none,0.6,500,kl_plugin,none,0.0,200,,
2-2-8,none,0.6,500,kl_split,none,0.0,200,,
2-2-8,none,0.6,500,slack_plugin,none,0.0,200,,
2-2-8,none,0.6,1000,cf1_margin,none,0.0,200,,
2-2-8,none,0.6,1000,gm_battery,none,0.0,200,,
2-2-8,none,0.6,1000,gtest,none,0.0,200,,
2-2-8,none,0.6,1000,kl_crossfit,none,0.0,200,,
2-2-8,none,0.6,1000,kl_plugin,none,0.0,200,,
2-2-8,none,0.6,1000,kl_split,none,0.0,200,,
2-2-8,none,0.6,1000,slack_plugin,none,0.0,200,,
2-2-8,none,0.6,2000,cf1_margin,none,0.0,200,,
2-2-8,none,0.6,2000,gm_battery,none,0.0,200,,
2-2-8,none,0.6,2000,gtest,none,0.0,200,,
2-2-8,none,0.6,2000,kl_crossfit,none,0.0,200,,
2-2-8,none,0.6,2000,kl_plugin,none,0.0,200,,
2-2-8,none,0.6,2000,kl_split,none,0.0,200,,
2-2-8,none,0.6,2000,slack_plugin,none,0.0,200,,
2-2-8,none,0.8,500,cf1_margin,none,0.0,200,,
2-2-8,none,0.8,500,gm_battery,none,0.0,200,,
2-2-8,none,0.8,500,gtest,none,0.0,200,,
2-2-8,none,0.8,500,kl_crossfit,none,0.0,200,,
2-2-8,none,0.8,500,kl_plugin,none,0.0,200,,
2-2-8,none,0.8,500,kl_split,none,0.0,200,,
2-2-8,none,0.8,500,slack_plugin,none,0.0,200,,
2-2-8,none,0.8,1000,cf1_margin,none,0.0,200,,
2-2-8,none,0.8,1000,gm_battery,none,0.0,200,,
2-2-8,none,0.8,1000,gtest,none,0.0,200,,
2-2-8,none,0.8,1000,kl_crossfit,none,0.0,200,,
2-2-8,none,0.8,1000,kl_plugin,none,0.0,200,,
2-2-8,none,0.8,1000,kl_split,none,0.0,200,,
2-2-8,none,0.8,1000,slack_plugin,none,0.0,200,,
2-2-8,none,0.8,2000,cf1_margin,none,0.0,200,,
2-2-8,none,0.8,2000,gm_battery,none,0.0,200,,
2-2-8,none,0.8,2000,gtest,none,0.0,200,,
2-2-8,none,0.8,2000,kl_crossfit,none,0.0,200,,
2-2-8,none,0.8,2000,kl_plugin,none,0.0,200,,
2-2-8,none,0.8,2000,kl_split,none,0.0,200,,
2-2-8,none,0.8,2000,slack_plugin,none,0.0,200,,
2-2-8,t3,0.2,500,cf1_margin,none,0.0,200,,
2-2-8,t3,0.2,500,gm_battery,none,0.0,200,,
2-2-8,t3,0.2,500,gtest,none,0.0,200,,
2-2-8,t3,0.2,500,kl_crossfit,none,0.0,200,,
2-2-8,t3,0.2,500,kl_plugin,none,0.0,200,,
2-2-8,t3,0.2,500,kl_split,none,0.0,200,,
2-2-8,t3,0.2,500,slack_plugin,none,0.0,200,,
2-2-8,t3,0.2,1000,cf1_margin,none,0.0,200,,
2-2-8,t3,0.2,1000,gm_battery,none,0.0,200,,
2-2-8,t3,0.2,1000,gtest,none,0.0,200,,
2-2-8,t3,0.2,1000,kl_crossfit,none,0.0,200,,
2-2-8,t3,0.2,1000,kl_plugin,none,0.0,200,,
2-2-8,t3,0.2,1000,kl_split,none,0.0,200,,
2-2-8,t3,0.2,1000,slack_plugin,none,0.0,200,,
2-2-8,t3,0.2,2000,cf1_margin,none,0.0,200,,
2-2-8,t3,0.2,2000,gm_battery,none,0.0,200,,
2-2-8,t3,0.2,2000,gtest,none,0.0,200,,
2-2-8,t3,0.2,2000,kl_crossfit,none,0.0,200,,
2-2-8,t3,0.2,2000,kl_plugin,none,0.0,200,,
2-2-8,t3,0.2,2000,kl_split,none,0.0,200,,
2-2-8,t3,0.2,2000,slack_plugin,none,0.0,200,,
2-2-8,t3,0.4,500,cf1_margin,none,0.0,200,,
2-2-8,t3,0.4,500,gm_battery,none,0.0,200,,
2-2-8,t3,0.4,500,gtest,none,0.0,200,,
