kind_orig,kind,noise,n,d,b,method,power,n_reps,null_size,advantage
conf_lin,null_gauss,gauss,500,3,0.3,hsic,0.005,200,0.0,0.005
conf_lin,null_gauss,gauss,500,3,0.3,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,500,3,0.3,k2,0.025,200,0.0,0.025
conf_lin,null_gauss,gauss,500,3,0.4,hsic,0.005,200,0.0,0.005
conf_lin,null_gauss,gauss,500,3,0.4,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,500,3,0.4,k2,0.025,200,0.0,0.025
conf_lin,null_gauss,gauss,500,3,0.5,hsic,0.005,200,0.0,0.005
conf_lin,null_gauss,gauss,500,3,0.5,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,500,3,0.5,k2,0.025,200,0.0,0.025
conf_lin,null_gauss,gauss,500,3,0.6,hsic,0.005,200,0.0,0.005
conf_lin,null_gauss,gauss,500,3,0.6,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,500,3,0.6,k2,0.025,200,0.0,0.025
conf_lin,null_gauss,gauss,500,3,0.7,hsic,0.005,200,0.0,0.005
conf_lin,null_gauss,gauss,500,3,0.7,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,500,3,0.7,k2,0.025,200,0.0,0.025
conf_lin,null_gauss,gauss,500,3,0.8,hsic,0.005,200,0.0,0.005
conf_lin,null_gauss,gauss,500,3,0.8,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,500,3,0.8,k2,0.025,200,0.0,0.025
conf_lin,null_gauss,gauss,500,3,0.9,hsic,0.005,200,0.0,0.005
conf_lin,null_gauss,gauss,500,3,0.9,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,500,3,0.9,k2,0.025,200,0.0,0.025
conf_lin,null_gauss,gauss,500,5,0.1,hsic,0.005,200,0.0,0.005
conf_lin,null_gauss,gauss,500,5,0.1,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,500,5,0.1,k2,0.025,200,0.0,0.025
conf_lin,null_gauss,gauss,500,5,0.2,hsic,0.005,200,0.0,0.005
conf_lin,null_gauss,gauss,500,5,0.2,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,500,5,0.2,k2,0.025,200,0.0,0.025
conf_lin,null_gauss,gauss,500,5,0.3,hsic,0.005,200,0.0,0.005
conf_lin,null_gauss,gauss,500,5,0.3,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,500,5,0.3,k2,0.025,200,0.0,0.025
conf_lin,null_gauss,gauss,500,5,0.4,hsic,0.005,200,0.0,0.005
conf_lin,null_gauss,gauss,500,5,0.4,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,500,5,0.4,k2,0.025,200,0.0,0.025
conf_lin,null_gauss,gauss,500,5,0.5,hsic,0.005,200,0.0,0.005
conf_lin,null_gauss,gauss,500,5,0.5,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,500,5,0.5,k2,0.025,200,0.0,0.025
conf_lin,null_gauss,gauss,500,5,0.6,hsic,0.005,200,0.0,0.005
conf_lin,null_gauss,gauss,500,5,0.6,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,500,5,0.6,k2,0.025,200,0.0,0.025
conf_lin,null_gauss,gauss,500,5,0.7,hsic,0.005,200,0.0,0.005
conf_lin,null_gauss,gauss,500,5,0.7,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,500,5,0.7,k2,0.025,200,0.0,0.025
conf_lin,null_gauss,gauss,500,5,0.8,hsic,0.005,200,0.0,0.005
conf_lin,null_gauss,gauss,500,5,0.8,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,500,5,0.8,k2,0.025,200,0.0,0.025
conf_lin,null_gauss,gauss,500,5,0.9,hsic,0.005,200,0.0,0.005
conf_lin,null_gauss,gauss,500,5,0.9,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,500,5,0.9,k2,0.025,200,0.0,0.025
conf_lin,null_gauss,gauss,2000,2,0.1,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,2,0.1,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,2,0.1,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,2,0.2,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,2,0.2,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,2,0.2,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,2,0.3,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,2,0.3,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,2,0.3,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,2,0.4,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,2,0.4,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,2,0.4,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,2,0.5,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,2,0.5,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,2,0.5,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,2,0.6,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,2,0.6,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,2,0.6,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,2,0.7,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,2,0.7,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,2,0.7,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,2,0.8,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,2,0.8,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,2,0.8,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,2,0.9,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,2,0.9,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,2,0.9,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,3,0.1,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,3,0.1,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,3,0.1,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,3,0.2,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,3,0.2,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,3,0.2,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,3,0.3,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,3,0.3,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,3,0.3,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,3,0.4,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,3,0.4,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,3,0.4,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,3,0.5,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,3,0.5,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,3,0.5,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,3,0.6,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,3,0.6,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,3,0.6,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,3,0.7,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,3,0.7,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,3,0.7,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,3,0.8,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,3,0.8,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,3,0.8,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,3,0.9,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,3,0.9,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,3,0.9,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,5,0.1,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,5,0.1,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,5,0.1,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,5,0.2,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,5,0.2,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,5,0.2,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,5,0.3,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,5,0.3,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,5,0.3,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,5,0.4,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,5,0.4,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,5,0.4,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,5,0.5,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,5,0.5,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,5,0.5,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,5,0.6,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,5,0.6,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,5,0.6,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,5,0.7,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,5,0.7,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,5,0.7,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,5,0.8,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,5,0.8,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,5,0.8,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,2000,5,0.9,hsic,0.015,200,0.0,0.015
conf_lin,null_gauss,gauss,2000,5,0.9,k1,0.0,200,0.0,0.0
conf_lin,null_gauss,gauss,2000,5,0.9,k2,0.01,200,0.02,-0.01
conf_lin,null_gauss,gauss,5000,2,0.1,hsic,0.005,200,,
conf_lin,null_gauss,gauss,5000,2,0.1,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,2,0.1,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,2,0.2,hsic,0.005,200,,
conf_lin,null_gauss,gauss,5000,2,0.2,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,2,0.2,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,2,0.3,hsic,0.0,200,,
conf_lin,null_gauss,gauss,5000,2,0.3,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,2,0.3,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,2,0.4,hsic,0.0,200,,
conf_lin,null_gauss,gauss,5000,2,0.4,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,2,0.4,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,2,0.5,hsic,0.005,200,,
conf_lin,null_gauss,gauss,5000,2,0.5,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,2,0.5,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,2,0.6,hsic,0.005,200,,
conf_lin,null_gauss,gauss,5000,2,0.6,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,2,0.6,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,2,0.7,hsic,0.005,200,,
conf_lin,null_gauss,gauss,5000,2,0.7,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,2,0.7,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,2,0.8,hsic,0.005,200,,
conf_lin,null_gauss,gauss,5000,2,0.8,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,2,0.8,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,2,0.9,hsic,0.005,200,,
conf_lin,null_gauss,gauss,5000,2,0.9,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,2,0.9,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,3,0.1,hsic,0.005,200,,
conf_lin,null_gauss,gauss,5000,3,0.1,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,3,0.1,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,3,0.2,hsic,0.005,200,,
conf_lin,null_gauss,gauss,5000,3,0.2,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,3,0.2,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,3,0.3,hsic,0.0,200,,
conf_lin,null_gauss,gauss,5000,3,0.3,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,3,0.3,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,3,0.4,hsic,0.0,200,,
conf_lin,null_gauss,gauss,5000,3,0.4,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,3,0.4,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,3,0.5,hsic,0.005,200,,
conf_lin,null_gauss,gauss,5000,3,0.5,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,3,0.5,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,3,0.6,hsic,0.005,200,,
conf_lin,null_gauss,gauss,5000,3,0.6,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,3,0.6,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,3,0.7,hsic,0.005,200,,
conf_lin,null_gauss,gauss,5000,3,0.7,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,3,0.7,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,3,0.8,hsic,0.005,200,,
conf_lin,null_gauss,gauss,5000,3,0.8,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,3,0.8,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,3,0.9,hsic,0.005,200,,
conf_lin,null_gauss,gauss,5000,3,0.9,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,3,0.9,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,5,0.1,hsic,0.005,200,,
conf_lin,null_gauss,gauss,5000,5,0.1,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,5,0.1,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,5,0.2,hsic,0.005,200,,
conf_lin,null_gauss,gauss,5000,5,0.2,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,5,0.2,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,5,0.3,hsic,0.0,200,,
conf_lin,null_gauss,gauss,5000,5,0.3,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,5,0.3,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,5,0.4,hsic,0.0,200,,
conf_lin,null_gauss,gauss,5000,5,0.4,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,5,0.4,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,5,0.5,hsic,0.005,200,,
conf_lin,null_gauss,gauss,5000,5,0.5,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,5,0.5,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,5,0.6,hsic,0.005,200,,
conf_lin,null_gauss,gauss,5000,5,0.6,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,5,0.6,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,5,0.7,hsic,0.005,200,,
conf_lin,null_gauss,gauss,5000,5,0.7,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,5,0.7,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,5,0.8,hsic,0.005,200,,
conf_lin,null_gauss,gauss,5000,5,0.8,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,5,0.8,k2,0.015,200,,
conf_lin,null_gauss,gauss,5000,5,0.9,hsic,0.005,200,,
conf_lin,null_gauss,gauss,5000,5,0.9,k1,0.365,200,,
conf_lin,null_gauss,gauss,5000,5,0.9,k2,0.015,200,,
conf_lin,null_gauss,gauss,10000,2,0.1,hsic,0.01,200,,
conf_lin,null_gauss,gauss,10000,2,0.1,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,2,0.1,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,2,0.2,hsic,0.01,200,,
conf_lin,null_gauss,gauss,10000,2,0.2,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,2,0.2,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,2,0.3,hsic,0.01,200,,
conf_lin,null_gauss,gauss,10000,2,0.3,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,2,0.3,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,2,0.4,hsic,0.005,200,,
conf_lin,null_gauss,gauss,10000,2,0.4,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,2,0.4,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,2,0.5,hsic,0.005,200,,
conf_lin,null_gauss,gauss,10000,2,0.5,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,2,0.5,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,2,0.6,hsic,0.005,200,,
conf_lin,null_gauss,gauss,10000,2,0.6,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,2,0.6,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,2,0.7,hsic,0.005,200,,
conf_lin,null_gauss,gauss,10000,2,0.7,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,2,0.7,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,2,0.8,hsic,0.005,200,,
conf_lin,null_gauss,gauss,10000,2,0.8,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,2,0.8,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,2,0.9,hsic,0.005,200,,
conf_lin,null_gauss,gauss,10000,2,0.9,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,2,0.9,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,3,0.1,hsic,0.01,200,,
conf_lin,null_gauss,gauss,10000,3,0.1,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,3,0.1,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,3,0.2,hsic,0.01,200,,
conf_lin,null_gauss,gauss,10000,3,0.2,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,3,0.2,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,3,0.3,hsic,0.01,200,,
conf_lin,null_gauss,gauss,10000,3,0.3,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,3,0.3,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,3,0.4,hsic,0.005,200,,
conf_lin,null_gauss,gauss,10000,3,0.4,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,3,0.4,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,3,0.5,hsic,0.005,200,,
conf_lin,null_gauss,gauss,10000,3,0.5,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,3,0.5,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,3,0.6,hsic,0.005,200,,
conf_lin,null_gauss,gauss,10000,3,0.6,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,3,0.6,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,3,0.7,hsic,0.005,200,,
conf_lin,null_gauss,gauss,10000,3,0.7,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,3,0.7,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,3,0.8,hsic,0.005,200,,
conf_lin,null_gauss,gauss,10000,3,0.8,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,3,0.8,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,3,0.9,hsic,0.005,200,,
conf_lin,null_gauss,gauss,10000,3,0.9,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,3,0.9,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,5,0.1,hsic,0.01,200,,
conf_lin,null_gauss,gauss,10000,5,0.1,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,5,0.1,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,5,0.2,hsic,0.01,200,,
conf_lin,null_gauss,gauss,10000,5,0.2,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,5,0.2,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,5,0.3,hsic,0.01,200,,
conf_lin,null_gauss,gauss,10000,5,0.3,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,5,0.3,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,5,0.4,hsic,0.005,200,,
conf_lin,null_gauss,gauss,10000,5,0.4,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,5,0.4,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,5,0.5,hsic,0.005,200,,
conf_lin,null_gauss,gauss,10000,5,0.5,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,5,0.5,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,5,0.6,hsic,0.005,200,,
conf_lin,null_gauss,gauss,10000,5,0.6,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,5,0.6,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,5,0.7,hsic,0.005,200,,
conf_lin,null_gauss,gauss,10000,5,0.7,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,5,0.7,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,5,0.8,hsic,0.005,200,,
conf_lin,null_gauss,gauss,10000,5,0.8,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,5,0.8,k2,0.0,200,,
conf_lin,null_gauss,gauss,10000,5,0.9,hsic,0.005,200,,
conf_lin,null_gauss,gauss,10000,5,0.9,k1,0.025,200,,
conf_lin,null_gauss,gauss,10000,5,0.9,k2,0.0,200,,
conf_lin,null_gauss,gauss,20000,2,0.1,hsic,0.005,200,,
conf_lin,null_gauss,gauss,20000,2,0.1,k1,0.04,200,,
conf_lin,null_gauss,gauss,20000,2,0.1,k2,0.0,200,,
conf_lin,null_gauss,gauss,20000,2,0.2,hsic,0.005,200,,
conf_lin,null_gauss,gauss,20000,2,0.2,k1,0.04,200,,
conf_lin,null_gauss,gauss,20000,2,0.2,k2,0.0,200,,
conf_lin,null_gauss,gauss,20000,2,0.3,hsic,0.005,200,,
conf_lin,null_gauss,gauss,20000,2,0.3,k1,0.04,200,,
conf_lin,null_gauss,gauss,20000,2,0.3,k2,0.0,200,,
conf_lin,null_gauss,gauss,20000,2,0.4,hsic,0.005,200,,
conf_lin,null_gauss,gauss,20000,2,0.4,k1,0.04,200,,
conf_lin,null_gauss,gauss,20000,2,0.4,k2,0.0,200,,
conf_lin,null_gauss,gauss,20000,2,0.5,hsic,0.005,200,,
conf_lin,null_gauss,gauss,20000,2,0.5,k1,0.04,200,,
conf_lin,null_gauss,gauss,20000,2,0.5,k2,0.0,200,,
conf_lin,null_gauss,gauss,20000,2,0.6,hsic,0.005,200,,
conf_lin,null_gauss,gauss,20000,2,0.6,k1,0.04,200,,
conf_lin,null_gauss,gauss,20000,2,0.6,k2,0.0,200,,
conf_lin,null_gauss,gauss,20000,2,0.7,hsic,0.005,200,,
conf_lin,null_gauss,gauss,20000,2,0.7,k1,0.04,200,,
conf_lin,null_gauss,gauss,20000,2,0.7,k2,0.0,200,,
conf_lin,null_gauss,gauss,20000,2,0.8,hsic,0.0,200,,
conf_lin,null_gauss,gauss,20000,2,0.8,k1,0.04,200,,
conf_lin,null_gauss,gauss,20000,2,0.8,k2,0.0,200,,
conf_lin,null_gauss,gauss,20000,2,0.9,hsic,0.0,200,,
conf_lin,null_gauss,gauss,20000,2,0.9,k1,0.04,200,,
conf_lin,null_gauss,gauss,20000,2,0.9,k2,0.0,200,,
conf_lin,null_gauss,gauss,20000,3,0.1,hsic,0.005,200,,
conf_lin,null_gauss,gauss,20000,3,0.1,k1,0.04,200,,
conf_lin,null_gauss,gauss,20000,3,0.1,k2,0.0,200,,
conf_lin,null_gauss,gauss,20000,3,0.2,hsic,0.005,200,,
conf_lin,null_gauss,gauss,20000,3,0.2,k1,0.04,200,,
conf_lin,null_gauss,gauss,20000,3,0.2,k2,0.0,200,,
conf_lin,null_gauss,gauss,20000,3,0.3,hsic,0.005,200,,
